Date,BAJAJ-AUTO.NS,HEROMOTOCO.NS,MARUTI.NS,TVSMOTOR.NS
2025-05-18,12177.029,6219.6357,14214.18,3324.1738
2025-02-16,11745.717,6285.245,13410.377,2808.5964
2025-01-12,11660.713,5967.792,12459.932,2763.119
2025-02-02,11595.65,6077.8853,13100.807,2865.003
2025-01-05,11581.557,5764.9707,12552.802,2776.093
2025-02-23,11549.448,6302.4644,13498.444,2788.0986
2025-01-26,11517.751,6314.96,12744.216,2792.1177
2024-12-22,11417.046,5150.9395,11593.041,2563.5913
2025-03-16,11406.801,6414.5767,14246.145,3031.5532
2025-04-13,11400.532,6497.7817,13998.288,3098.3774
2024-12-01,11338.949,4756.0767,11446.366,2523.1963
2025-03-23,11240.809,6465.756,13664.012,3075.5059
2025-05-04,11203.917,6389.473,14816.854,3279.1611
2024-12-29,11203.658,5494.4546,12424.336,2622.3403
2025-03-02,11201.602,6512.0537,13809.699,2890.0786
2025-03-09,11123.763,6367.1216,13061.855,3048.645
2025-02-09,11100.641,6361.631,12894.836,2894.2349
2025-05-11,11073.395,6321.24,14769.699,3364.1157
2025-01-19,11073.368,6354.2734,12811.296,2652.8525
2024-12-15,11063.281,4975.6646,12337.654,2432.6538
2025-04-06,10948.32,6544.4814,14268.615,3067.0593
2025-03-30,10915.436,6231.3394,13838.397,3123.7285
2024-11-17,10840.5205,4639.316,11262.333,2454.3906
2024-12-08,10729.426,4881.365,11453.771,2391.5342
2025-04-20,10679.393,6295.0137,14680.253,3158.074
2025-04-27,10498.027,6198.117,14913.521,3166.2642
2024-11-24,10421.162,4763.249,11417.874,2536.4795
2024-11-10,10017.148,4806.124,11553.631,2556.0427
